,Band,Song,Player,Technique,Difficulty,Score
4477,Natsuko Asou,Baka To Test - Perfect Area Complete,Bass,['Orchestral Harp'],,
4478,20th Century Studios/Disney,Fox Fanfare (Disney Rework),bass,['Tremolo Strings'],,
4479,Steely Dan,Dirty Work,Electric Bass,['Electric Guitar (clean)'],Intermediate,3/8
4480,Luck Ganriki,Organ Short #600 Million in C Minor,bass,['Church Organ'],,
4481,Lifeblood,The Tempest,Synthesizer (Staff 2),['Lead 2 (sawtooth)'],,
4482,Mental Wounds,Terminus,Synthesizer (Staff 2),['Pad 5 (bowed)'],,
4483,Georg Philipp Telemann,ARIA FOR DOUBLEBASS DUET,Contrabass 1,[],,
4484,Horsemeat,Projekt 3,Distortion Bass,['Distortion Guitar'],Intermediate,3/8
4485,Tesuto,L I C H E N,Track 4,['Whistle'],,
4486,Butthole Surfers,Fast (Riff),Jeff Pinkus (Bass),['Overdriven Guitar'],Intermediate,3/8
4487,Yes,South Side Of The Sky,Rick Wakeman,"['Moog Synthesizer', 'SynthBrass 1']",,
4488,Ilyalica,Баллада о Владе и Сыре,Contrabass,[],,
4489,Yes,Perpetual Change,Jon Anderson,"['Bass Pedals', 'Lead 8 (bass + lead)']",,
4490,Bebroids,R U Mine + tone,Overdriven Bass Effect,['Overdriven Guitar'],Intermediate,4/8
4491,Pizza Bitches,Anomalously Violent Funeral,Track 2,['Overdriven Guitar'],Intermediate,3/8
4492,Metallica,Anesthesia (Pulling Teeth),Electric Bass,['Distortion Guitar'],Intermediate,4/8
4493,Genesis,I Know What I Like (In Your Wardrobe),Tony Banks,"['Organ LH', 'Rock Organ']",,
4494,Slaver,OverLoad,Track 4,['Electric Guitar (jazz)'],Intermediate,3/8
4495,The Beatles,Revolution 9,Piano,"['Left Hand (Bass)', 'Acoustic Grand Piano']",,
4496,Xgkl Tllc,.b0,Track 2,['Acoustic Guitar (nylon)'],Intermediate,3/8
4497,562w3464646q5,q3q53e643636436w,Leonid Feldman (Distorted Bass),['Distortion Guitar'],Intermediate,3/8
4498,The Everly Brothers,All I Have To Do Is Dream,Contrabass,[],,
4499,Nomnomnami,Bad End Theater,Bass,['Distortion Guitar'],Intermediate,3/8
4500,Poineru,Eronius,Distortion Guitar 2,[],Intermediate,4/8
4501,Md,Симф,Track 4,['Acoustic Grand Piano'],,
4502,Friend Rockson,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Keyboards 2,['Drawbar Organ'],,
4503,Draft Shit,Dark Serenity,Pad Synthesizer (Staff 2),['Drawbar Organ'],,
4504,Houkago Tea Time,Tokimeki Sugar,Bass (Akiyama Mio),['Distortion Guitar'],Intermediate,3/8
4505,Valve Studio Orchestra,Mercenary Park,Piano L.H.,['Trombone'],,
4506,Ht,RR Performance Eleanor_Rigby_hard,Cello 1 and 2,['Cello'],,
4507,Ennio Moricone,"The Good, The Bad And The Ugly",Track 5,['Acoustic Guitar (nylon)'],Intermediate,3/8
4508,Popol Band,The Devil V2,Synthesizer (Staff 2),['SynthBrass 2'],,
4509,Oliver Hovde,Fuzzy Dice/Handcuffs,Bass,['Marimba'],,
4510,L.A.B.,E.C.,Thomas Dist.,['Harpsichord'],,
4511,Dd,dd travels,distortion bass,['Distortion Guitar'],Intermediate,3/8
4512,Deep Purple,Strange Kind Of Woman,Jon Lord (Bass),['Drawbar Organ'],,
4513,Slaver,Creeping liar,Bass distortion,['Distortion Guitar'],Intermediate,3/8
4514,Wiśniak,syntdungo,Utwór 4,['String Ensemble 1'],,
4515,Yes,Cans And Brahms,Minimoog Synth,['SynthBrass 1'],,
4516,Goethia,Bright,Synthesizer (Staff 2),['FX 5 (brightness)'],,
4517,Tally Hall,Greener,Andrew Horowitz,"['Piano (Bass)', 'Acoustic Grand Piano']",,
4518,Slaver,нпе облака,Track 2,['Electric Guitar (clean)'],Intermediate,3/8
4519,Beach Bunny,Cloud 9,Bass,['Electric Guitar (clean)'],Intermediate,3/8
4520,Steven Yama,Jardín de Mar Bas,Pista 1,['Acoustic Guitar (steel)'],Intermediate,3/8
4521,Максим,Балалайка,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
4522,Joshface,Friend,Eighties Poly Synth (Staff 2),['Lead 1 (square) 2'],,
4523,Joshface,Mess,Synthesizer (Staff 2),['Lead 1 (square)'],,
4524,4136487,SCOTLAND FOREVER,Bass,['Overdriven Guitar'],Intermediate,5/8
4525,4136487,Melodies 2,Bass,['Overdriven Guitar'],Intermediate,4/8
4526,M83,this bright flash,Synthesizer (Staff 2),['Pad 1 (new age)'],,
4527,Gentle Giant,Raconteur Troubadour,Contrabass,[],,
4528,Tesuto,S A N J O S E,Track 6,['Baritone Sax'],,
4529,Dleifteh Semaj,Yellow 6,Contrabass,[],,
4530,Beleth,bassdmo,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
4531,Tesuto,S P I R A L O F A N T S,Track 6,['Lead 2 (sawtooth)'],,
4532,Tesuto,S A Y H E Y K I D,Track 4,['Whistle'],,
4533,4136487s,Dancing Mad (4),Fuzz Bass,['Distortion Guitar'],Intermediate,4/8
4534,4136487s,Dancing Mad (1-3),B9,['Distortion Guitar'],Intermediate,5/8
4535,Slaver,Player,Bass Drive,['Overdriven Guitar'],Intermediate,3/8
4536,Henry Eccles,Sonata G minor,Contrabass,[],,
4537,Jonathan Sefcik,Noodlin' 5,Track 3,['Acoustic Guitar (steel)'],Intermediate,5/8
4538,Horsemeat,Unknown Matter,Dist Bass,['Distortion Guitar'],Intermediate,3/8
4539,Queen,Lazing On A Sunday Afternoon,Freddie Mercury,"['Piano (Left Hand)', 'Acoustic Grand Piano']",,
4540,Stevie Wonder,Sir Duke,Synthesizer (Lead Vocals) (Staff 2),['Lead 8 (bass + lead)'],,
4541,Journey To Silius,Stage 1,Lead 8 (bass + lead),[],,
4542,Queen,It's A Hard Life,Piano L.H.,['Acoustic Grand Piano'],,
4543,Red Hot Chili Peppers,Around The World,Flea (Bass Effect),['Distortion Guitar'],Intermediate,4/8
4544,Zoe,Via Lactea Ver 4,Pista 5,['Pad 1 (new age)'],,
4545,24c3a,c3c3a,Track 3,['Contrabass'],,
4546,Popol Band,The Devil,Synthesizer (Staff 2),['SynthBrass 2'],,
4547,Lana Del Rey,Gods And Monsters,Contrabass,[],,
4548,4136487s,Solos - 33% Speed,Bass,"['Highway Star', 'Distortion Guitar']",Intermediate,3/8
4549,4136487s,Solos - 50% Speed,Bass,"['Close to the Edge', 'Distortion Guitar']",Intermediate,5/8
4550,4136487s,Solos - 66% Speed,Bass,"['House of the Rising Sun', 'Distortion Guitar']",Intermediate,3/8
4551,4136487s,Solos - 75% Speed,Bass,"[""Marx's Theme"", 'Distortion Guitar']",Intermediate,3/8
4552,4136487s,Solos - Full Speed,Bass,"['House of the Rising Sun', 'Distortion Guitar']",Advanced,7/8
4553,4136487,Melodies 1,Bass,['Overdriven Guitar'],Intermediate,3/8
4554,Boston,Foreplay - Bass,Track 1,['Overdriven Guitar'],Intermediate,5/8
4555,Fall Out Boy,Thnks Fr Th Mmrs,xd,['Voice Oohs'],,
4556,Fall Out Boy,Grand Theft Autumn (Where Is Your Boy),xd,['Voice Oohs'],,
4557,Fall Out Boy,"Sugar, We're Goin Down",xd,['Voice Oohs'],,
4558,6365gbnjm46bi,6365gbnjm46bi,Track 2,['Overdriven Guitar'],Intermediate,3/8
4559,Fpc,She,Acoustic Guitar (nylon) 2,[],Intermediate,3/8
4560,Fpc,Worries,Acoustic Guitar (nylon) 2,[],Intermediate,3/8
4561,Dd,dd bass solo 2,Track 1,['Overdriven Guitar'],Intermediate,3/8
4562,Creatures Of Furkahn,Tree,Contrabass,['String Ensemble 1'],,
4563,Creatures Of Furkahn,Creature 4,Synthesizer (Staff 2),['Pad 4 (choir)'],,
4564,Creatures Of Furkahn,Crows,Synthesizer (Staff 2),['FX 7 (echoes)'],,
4565,Tesuto,gbs,Track 2,['Pizzicato Strings'],,
4566,Bass Solos,Lunar Dance,Track 1,['Overdriven Guitar'],Intermediate,4/8
4567,Dd,dd bass solo,Track 1,['Overdriven Guitar'],Intermediate,4/8
4568,Metallica,Blackened [Mistery Intro],Newsted,['Distortion Guitar'],Intermediate,3/8
4569,Metallica,Battery (Bass Cover by Andriy Vasylenk),Track 1,['Overdriven Guitar'],Intermediate,3/8
4570,Metallica,Anesthesia Pulling Teeth With Wah Sound,Cliff (Distortion Bass),['Distortion Guitar'],Intermediate,5/8
4571,Stuck In The Sound,Petit Chat,Chiptune (Staff 2),['Pad 3 (polysynth)'],,
4572,Mednoe Ochelo,100-0017,Electric Bass,['Distortion Guitar'],Intermediate,3/8
4573,Muse,Supremacy,Low Brass,['Tuba'],,
4574,The Beatles,Maxwell's Silver Hammer (Complete),Piano Left Hand,['Acoustic Grand Piano'],,
4575,Shoji Meguro,Prison Labor (Persona 5 Royal),Saw Synthesizer (Staff 2),['Lead 2 (sawtooth)'],,
4576,The Kommrads,SOS,Synthesizer (Staff 2),['Pad 2 (warm)'],,
4577,Castlevania,Heart of Fire (Metal Remix),Acoustic Guitar (steel),[],Intermediate,3/8
4578,Castlevania,Wicked Child (Metal Remix),Distortion Guitar 1,[],Intermediate,3/8
4579,Zigzag,My version of Bad Liar (imagine dragons),xd,['Lead 6 (voice)'],,
4580,Shin Megami Tensei V,Demi-Fiend Boss Battle Theme,Saw Synthesizer (Staff 2),['String Ensemble 1'],,
4581,Castlevania,Vampire Killer (Metal Remix),Distortion Guitar,[],Intermediate,3/8
4582,Fxvbm,fxvbm,Synthesised Bass 2,['Choir Aahs'],,
4583,Slaver,Pantera,Bass (Volume Swell),['FX 2 (soundtrack)'],,
4584,Worthikids,Friends In Low Places,Bass Distortion,['Distortion Guitar'],Intermediate,3/8
4585,Manowar,Fast Taker,Бас,['Distortion Guitar'],Intermediate,3/8
4586,Tesuto,ha,Baritone Horn,['French Horn'],,
4587,Агата Кристи,Опиум Для Никого,Spur 3,['Lead 8 (bass + lead)'],,
4588,Slaver,Be nothing,Bass Dist (Harmony Standard),['Distortion Guitar 2'],Intermediate,3/8
4589,Maneskin,Coraline Bass (C) LoveYourBass,bass,['Acoustic Guitar (steel)'],Intermediate,3/8
4590,Dd,dd asomnia 1,Track 5,['Pad 8 (sweep)'],,
4591,Slipknot,Duality,Craig Jones,['Acoustic Grand Piano'],,
4592,Mqnwlor,blckndclass,Jason Newsted,['Contrabass'],,
4593,Destruction Of The Healer,Let The Earth Reclaim Me,Contrabass,[],,
4594,Painless,The nobodies,vados,['Distortion Guitar'],Intermediate,3/8
4595,Del Shannon,Runaway in Key of Am,Acoustic Bass,['Acoustic Guitar (nylon)'],Intermediate,3/8
4596,A.D.,1712,Synth 1,['Pad 2 (warm)'],,
4597,The Delightful Robot Magic Music People,Gadzooks!,Bass (+ Fuzz),['Distortion Guitar'],Intermediate,3/8
4598,Slaver,Гармония,Track 1,['Distortion Guitar'],Intermediate,5/8
4599,Next In Line,Countdown to Insanity,Synthesizer (Staff 2),['Pad 4 (choir)'],,
4600,Next In Line,The Nail,FX Synth (Staff 2),['Pad 4 (choir)'],,
4601,Agne,easy rock groove,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8
4602,The Rasmus,Venomous Moon,Apocalyptica,['Cello 2'],,
4603,Red Night,Spiderwings,Gavin (Synth) (Staff 2),['Lead 2 (sawtooth)'],,
4604,Cameron Riggenbach,Test 9,Synth FX 2 (Staff 2),['Pad 5 (bowed)'],,
4605,Ministry,Hero,Bass Distortion,['Distortion Guitar'],Intermediate,3/8
4606,Seank,B intro,Track 2,['Distortion Guitar'],Intermediate,3/8
4607,Slaver,Bass test (Horsemen),Dist. Pedal,['Distortion Guitar'],Advanced,6/8
4608,Street Of Rage 3 (Bare Knuckle),Character select theme,Sinth bass,['Lead 8 (bass + lead)'],,
4609,The Delightful Robot Magic Music People,Christmas in Pakistan,Church Organ,[],,
4610,Sing R. Sing!,The Fantastic Legend of Tohno,Rythmic Piano,['Acoustic Grand Piano'],,
4611,Thekenny7321,"""Revenge"" By CaptainSparklez",Lead 2 (sawtooth),[],,
4612,Агата Кристи,Ни там ни тут,Бас,['Lead 2 (sawtooth)'],,
4613,Tesuto,shk,Track 4,['Whistle'],,
4614,Mis Kcaj,Cow Hat Song,Synthesizer (Staff 2),['Pad 2 (warm)'],,
4615,Cec I Paja,MINA SLINA,Track 3,['Distortion Guitar'],Intermediate,3/8
4616,Slaver (Test),Frozen Soul,Dist. bass,['Overdriven Guitar'],Advanced,8/8
4617,Tha Noodles,Typ 20-30 julelys,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
4618,Jim Davis,Garfield,Track 8,['Acoustic Guitar (steel)'],Intermediate,3/8
4619,Mis Kcaj,One Shot Ally,Synthesizer (Intro) (Staff 2),['Pad 2 (warm)'],,
4620,Slaver,Dragonborn,Bass Effects,['Distortion Guitar'],Intermediate,3/8
4621,Wiśniak,Środa Dzień L (Ale Nie Ma Kto Mi Zrobić),Bas,['Lead 1 (square)'],,
4622,Familyjules,Marnie battle theme,Synth Bells (Staff 2),['Lead 1 (square)'],,
4623,My Bloody Valentine,Only Shallow,Bass Distortion Effect (Debbie Googe),['Distortion Guitar'],Intermediate,3/8
4624,Shin Megami T,Domain,Track 4,['Pad 3 (polysynth)'],,
4625,Tally Hall,Taken For A Ride,Brass 2,['Tuba'],,
4626,Babymetal,Brand New Day (ft. Tim Henson & Scott LePage),Keyboard 1 (Bass),['Lead 1 (square)'],,
4627,Tesuto,pw,Guerilla Bass,['Lead 8 (bass + lead)'],,
4628,Initial D,Deja Vu,Synth Bass,['Lead 8 (bass + lead)'],,
4629,Tesuto,dgio,Track 3,['Lead 2 (sawtooth)'],,
4630,Tesuto,h,Track 5,['Lead 2 (sawtooth)'],,
4631,Pokaji Kishki,cowobow,Synthesizer (Staff 2),['Music Box'],,
4632,Avalonrollback,Midnight,Pista 7,['Overdriven Guitar'],Intermediate,3/8
4633,Pokaji Kishki,мусор312,Synthesizer2 (Staff 2),['Lead 6 (voice)'],,
4634,Draft Shit,jazz fuck off,A.Piano (Staff 2),['Acoustic Grand Piano'],,
4635,Pokaji Kishki,delete1,Synthesizer (Staff 2),['Lead 6 (voice)'],,
4636,David Wise,Aquatic Ambience,Pad / Piano (delay) (Staff 2),['Pad 2 (warm)'],,
4637,Initial D,No One Sleep In Tokyo,Synth Bass,['SynthBrass 2'],,
4638,Primus,The Air Is Getting Slippery,Les Claypool,"['Upright', 'Contrabass']",,
4639,Tesuto,psspss,Track 5,['Whistle'],,
4640,Tesuto,to,Track 3,['Lead 2 (sawtooth)'],,
4641,Tally Hall,Ruler Of Everything,Contrabass,[],,
4642,Холи,много смс,Synthesizer (Staff 2),['Lead 1 (square)'],,
4643,Bengala,Planeador (Bass Solfege),Electric Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
4644,Prince King (Test),-67657834-363-,Dist. bass,['Overdriven Guitar'],Intermediate,3/8
4645,Seank,Bass solo by Sean,Track 1,['Distortion Guitar'],Intermediate,3/8
4646,Muse,Ashamed,Bass [Effects),['Lead 2 (sawtooth)'],,
4647,Maneskin,Beggin - bass,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
4648,7o7,7o74,Basse [Effets),['Lead 2 (sawtooth)'],,
4649,Sodom,Ausgebombt,Bass (Distorted),['Overdriven Guitar'],Intermediate,4/8
4650,Bo Burnham,Bezos I,Lead 8 (bass + lead),[],,
4651,Тальник,Аура,Pad (Staff 2),['Pad 2 (warm)'],,
4652,Bracia Sygut Band,Intro,Miko³aj S ,['Lead 1 (square)'],,
4653,Merten,wind,Synthesizer (Staff 2),['Pad 4 (choir)'],,
4654,The Cure,Prayers For Rain (2),Cello,[],,
4655,Wyrmura,Strings,Track 3,['Cello'],,
4656,Genres,Death Metal,Track 4,['Distortion Guitar'],Advanced,8/8
4657,Tesuto,lotg,FX,"['Bass', 'Acoustic Guitar (steel)']",Advanced,8/8
4658,Cliffsolo,cliffsolo,Track 1,['Distortion Guitar'],Intermediate,4/8
4659,Twenty One Pilots,My Blood,Bass Dist,['Lead 2 (sawtooth)'],,
4660,Cameron Riggenbach,Test 6,Synthesizer (Staff 2),['FX 6 (goblins)'],,
4661,Bracia Sygut Band,Jachu Marciniak Tribute,Bas,['Lead 1 (square)'],,
4662,Dd,dd bells,Track 6,['Distortion Guitar'],Intermediate,3/8
4663,Uverworld,D-Tecnolife,Piano II (Left Hand),['Acoustic Grand Piano'],,
4664,Mental Fog,Who Cares?,Bass,['Electric Guitar (clean)'],Intermediate,4/8
4665,Tesuto,u10,Track 2,['Lead 1 (square)'],,
4666,Tesuto,cn,synth brass I,"['bass', 'SynthBrass 1']",,
4667,Creatures Of Furkahn,Heart,Contrabass,['String Ensemble 1'],,
4668,Creatures Of Furkahn,Red Light,Contrabass,['String Ensemble 1'],,
4669,It's Been So Long,The Living Tombstone,Synthesizer,['Lead 2 (sawtooth)'],,
4670,At Doom's Gate,Mike Gordon,Keys (Staff 2),['Lead 2 (sawtooth)'],,
4671,Asylum Party,Play Alone,Electric Bass,['Distortion Guitar'],Intermediate,3/8
4672,Bass & Guitar Lessons,LA Woman Grade 5 Bass,Acoustic Basses,['Acoustic Grand Piano'],,
4673,Tesuto,cuagm,Track 1,['Lead 8 (bass + lead)'],,
4674,Boards Of Canada,Everything You Do is a Balloon,Bass synth 2,['Contrabass'],,
4675,Slaver,Muse,Бас драйв,['Overdriven Guitar'],Intermediate,3/8
4676,Iron Maiden,Hell On Earth,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
4677,Slaver,Ьгыу,Bass,"['(fuzz)', 'Lead 8 (bass + lead)']",,
4678,Hungária,Rock and roll party (legjobb verzió),Zongora ,['Acoustic Grand Piano'],,
4679,Halloween Junky Orchestra,Halloween Party,Contrabass (Pizz),['Distortion Guitar'],Intermediate,3/8
4680,Muse,Feeling Good,Chris Wolstenholme,"['Bass Guitar', 'Distortion Guitar']",Intermediate,3/8
4681,Dd,dd bass intro,Track 1,['Overdriven Guitar'],Intermediate,3/8
4682,Dd Bad,dd,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
4683,Southampton Guitar Academy,Leo's Paradise City - Modified to make playable (Grade 4 -ish) bars 79 - 82 lick in solo in E standard tuning,Duff McKagan,['Acoustic Guitar (steel)'],Intermediate,4/8
4684,Lucybell,Eternidad (Bass Solfege),Electric Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
4685,Zsolt Bangha,GCSE Composition (draft),Synthesizer (Staff 2),['Pad 2 (warm)'],,
4686,Maneskin,New Song,Traccia 1,['Acoustic Guitar (steel)'],Intermediate,3/8
4687,Maneskin,Vent'anni,basso,['Acoustic Guitar (steel)'],Intermediate,3/8
4688,Primus,Mr Krinkle,Upright Bass,['Contrabass 2'],,
4689,Unknown,Metalcore idea,Electric Guitar (Distortion),['Distortion Guitar'],Intermediate,3/8
4690,Dance Gavin Dance,Polka Dot Dobbins,Andrew (Left),['Overdriven Guitar'],Intermediate,3/8
4691,Мукка,АлисаV2,Acoustic,['Electric Guitar (clean)'],Beginner,2/8
4692,Буерак,Дурачок,Гитара,['Electric Guitar (jazz)'],Beginner,2/8
4693,Scorpions,Shoot For The Heart,Klaus Meine,['Alto Sax'],,
4694,Вестник Смерти,Забытый космос,Track 1,['Acoustic Guitar (steel)'],Beginner,1/8
4695,Snougy,Math rocks (WIP),Track 1,['Electric Guitar (jazz)'],Intermediate,3/8
4696,Lo,he,Track 2,['Acoustic Guitar (steel)'],Beginner,2/8
4697,10cm,c,Æ®·¢ 1,['Acoustic Guitar (steel)'],Beginner,2/8
4698,Darkcloud,Sharp Driver (Version Distorsion),Pista 1,['Distortion Guitar'],Beginner,2/8
4699,Darkcloud,Sharp Driver,Pista 1,['Acoustic Guitar (steel)'],Beginner,2/8
4700,August Burns Red,1/16/2011 (2021),Brent Rambler,['Electric Guitar (clean)'],Beginner,2/8
4701,Steve Hansen,TOMORROW KonoSuba! 2,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
4702,Steve Hansen,Rightfully - Goblin Slayer OP,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8
4703,Steve Hansen,One Room Sugar Life - Happy Sugar Life OP,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
4704,Steve Hansen,Kawaki wo Ameku - Domestic na Kanojo OP,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
4705,Steve Hansen,Fukashigi no Carte - SeiButa ED,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
4706,Steve Hansen,Error BEATLESS OP,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8
4707,Steve Hansen,Inferno - Fire Force (Enen no Shouboutai) OP,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
4708,Me,Random Solo Sixteen,Track 2,['Distortion Guitar'],Beginner,2/8
4709,Steeler,Sent From The Evil,Tom Eder,['Distortion Guitar'],Beginner,2/8
4710,Dsad1,121a,Track 1,['Distortion Guitar'],Beginner,2/8
4711,Жщ,Давай уйдём,P,['Overdriven Guitar'],Beginner,2/8
4712,Жщ,Врать,Overdriven Guitar 2,[],Beginner,1/8
4713,Жщ,Король,p_clean,['Electric Guitar (clean)'],Beginner,2/8
4714,Жщ,Крепким словом,p,['Electric Guitar (clean)'],Beginner,2/8
4715,Steve Hansen,Escape Darling in the FranXX ED5,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
4716,Жщ,Там же где и я,v_clean,['Acoustic Guitar (steel)'],Beginner,2/8
4717,Blue October,Drilled a Wire Through My Cheek,Overdriven Guitar 2,[],Beginner,2/8
4718,Misc Computer Games - Team Fortress 2,MEDIC!,Tenor Trombone,['Trombone'],,
4719,Misc Computer Games - Team Fortress 2,Drunken Pipe Bomb,Trumpet 3,['Trumpet'],,
4720,Жщ,Дизмораль,Distortion Guitar,[],Beginner,2/8
4721,Казускома,ТЫ ЗАБУДЕШЬ ОБО МНЕ,Overdriven Guitar,[],Intermediate,3/8
4722,Unnamed,song 2 - test 3,Track 3,['Distortion Guitar'],Beginner,2/8
4723,José Madero,Rompope Para Uno,Acoustic Grand Piano,[],,
4724,José Madero,Noche de Baile,Reed Organ,[],,
4725,Krokus,Rockin' In The Free World,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8
4726,Kingdom Come,Stargazer,Guitar 1,['Overdriven Guitar'],Intermediate,3/8
4727,Wallaxe,rondaaaaa,2. guitar,['Electric Guitar (clean)'],Beginner,2/8
4728,"Nm,M,,Hgj",",nm,bnm,bnmbnm,m",Electric Guitar (clean),[],Intermediate,5/8
4729,Wallaxe,hole holes,Scott Olsen,['Acoustic Guitar (steel)'],Beginner,2/8
4730,Cris&Peace,побритая жопа коли,Distortion Guitar,[],Beginner,2/8
4731,Rhcp,Medley 2,Clean Guitar,['Electric Guitar (clean)'],Beginner,2/8
4732,Rhcp,Medley,Clean Guitar,['Electric Guitar (clean)'],Intermediate,3/8
4733,Richard Walsh,Deth Stunts,Track 1,['Distortion Guitar'],Advanced,6/8
4734,Richaadeb,Bad Apple Ver. 2,E.Guitar I,['Overdriven Guitar 1'],Intermediate,3/8
4735,Oimbo,gorbatiy,Electric Guitar,['Overdriven Guitar'],Intermediate,3/8
4736,Poppy Playtime,It's Playtime (Guitar Version),Violin 1,['Violin'],,
4737,Poppy Playtime - Chapter 1,It's Playtime,Viola,[],,
4738,Гармонал,1,ритм,['Distortion Guitar'],Beginner,2/8
4739,Lithium,"When You Hit The Ground, You'll Splatter Like Jam",Tom,['Acoustic Guitar (steel)'],Beginner,2/8
4740,Flinch Jackal,Paul Allen,Distortion Guitar,[],Beginner,2/8
4741,Untitled,wt3481test,Distortion Guitar,[],Intermediate,3/8
4742,Verde 70,En La Inmensidad (Beta),Track 3,['Electric Guitar (clean)'],Intermediate,4/8
4743,Pathaway,Time To Take This To The Grave,Violin 1,['Cello'],,
